# OpenCart injection targets
# Format: METHOD|PATH|PARAMETERS|DESCRIPTION
GET|/opencart/admin/panel-160|id,page,tab,sort|Generated opencart admin panel route 160
GET|/opencart/api/v1/items/161|id,search,page,limit|Generated opencart api route 161
POST|/opencart/ajax/action-162|action,id,user_id,token|Generated opencart ajax action route 162
GET|/?opencart_probe_163=1|opencart_probe_163,id,cat,author|Generated opencart query route 163
GET|/opencart/index.php?option=component164|option,id,view,task|Generated opencart component route 164
POST|/opencart/admin/post-165|action,id,order_id,status|Generated opencart admin post route 165
GET|/opencart/search/166|q,order,dir,page|Generated opencart search route 166
GET|/opencart/modules/mod-167/endpoint.php|id,module,lang,state|Generated opencart module endpoint 167
GET|/opencart/admin/panel-168|id,page,tab,sort|Generated opencart admin panel route 168
GET|/opencart/api/v1/items/169|id,search,page,limit|Generated opencart api route 169
POST|/opencart/ajax/action-170|action,id,user_id,token|Generated opencart ajax action route 170
GET|/?opencart_probe_171=1|opencart_probe_171,id,cat,author|Generated opencart query route 171
GET|/opencart/index.php?option=component172|option,id,view,task|Generated opencart component route 172
POST|/opencart/admin/post-173|action,id,order_id,status|Generated opencart admin post route 173
GET|/opencart/search/174|q,order,dir,page|Generated opencart search route 174
GET|/opencart/modules/mod-175/endpoint.php|id,module,lang,state|Generated opencart module endpoint 175
GET|/opencart/admin/panel-176|id,page,tab,sort|Generated opencart admin panel route 176
GET|/opencart/api/v1/items/177|id,search,page,limit|Generated opencart api route 177
POST|/opencart/ajax/action-178|action,id,user_id,token|Generated opencart ajax action route 178
GET|/?opencart_probe_179=1|opencart_probe_179,id,cat,author|Generated opencart query route 179
GET|/opencart/index.php?option=component180|option,id,view,task|Generated opencart component route 180
POST|/opencart/admin/post-181|action,id,order_id,status|Generated opencart admin post route 181
GET|/opencart/search/182|q,order,dir,page|Generated opencart search route 182
GET|/opencart/modules/mod-183/endpoint.php|id,module,lang,state|Generated opencart module endpoint 183
GET|/opencart/admin/panel-184|id,page,tab,sort|Generated opencart admin panel route 184
GET|/opencart/api/v1/items/185|id,search,page,limit|Generated opencart api route 185
POST|/opencart/ajax/action-186|action,id,user_id,token|Generated opencart ajax action route 186
GET|/?opencart_probe_187=1|opencart_probe_187,id,cat,author|Generated opencart query route 187
GET|/opencart/index.php?option=component188|option,id,view,task|Generated opencart component route 188
POST|/opencart/admin/post-189|action,id,order_id,status|Generated opencart admin post route 189
GET|/opencart/search/190|q,order,dir,page|Generated opencart search route 190
GET|/opencart/modules/mod-191/endpoint.php|id,module,lang,state|Generated opencart module endpoint 191
GET|/opencart/admin/panel-192|id,page,tab,sort|Generated opencart admin panel route 192
GET|/opencart/api/v1/items/193|id,search,page,limit|Generated opencart api route 193
POST|/opencart/ajax/action-194|action,id,user_id,token|Generated opencart ajax action route 194
GET|/?opencart_probe_195=1|opencart_probe_195,id,cat,author|Generated opencart query route 195
GET|/opencart/index.php?option=component196|option,id,view,task|Generated opencart component route 196
POST|/opencart/admin/post-197|action,id,order_id,status|Generated opencart admin post route 197
GET|/opencart/search/198|q,order,dir,page|Generated opencart search route 198
GET|/opencart/modules/mod-199/endpoint.php|id,module,lang,state|Generated opencart module endpoint 199
GET|/opencart/admin/panel-200|id,page,tab,sort|Generated opencart admin panel route 200
GET|/opencart/api/v1/items/201|id,search,page,limit|Generated opencart api route 201
POST|/opencart/ajax/action-202|action,id,user_id,token|Generated opencart ajax action route 202
GET|/?opencart_probe_203=1|opencart_probe_203,id,cat,author|Generated opencart query route 203
GET|/opencart/index.php?option=component204|option,id,view,task|Generated opencart component route 204
POST|/opencart/admin/post-205|action,id,order_id,status|Generated opencart admin post route 205
GET|/opencart/search/206|q,order,dir,page|Generated opencart search route 206
GET|/opencart/modules/mod-207/endpoint.php|id,module,lang,state|Generated opencart module endpoint 207
GET|/opencart/admin/panel-208|id,page,tab,sort|Generated opencart admin panel route 208
GET|/opencart/api/v1/items/209|id,search,page,limit|Generated opencart api route 209
POST|/opencart/ajax/action-210|action,id,user_id,token|Generated opencart ajax action route 210
GET|/?opencart_probe_211=1|opencart_probe_211,id,cat,author|Generated opencart query route 211
GET|/opencart/index.php?option=component212|option,id,view,task|Generated opencart component route 212
POST|/opencart/admin/post-213|action,id,order_id,status|Generated opencart admin post route 213
GET|/opencart/search/214|q,order,dir,page|Generated opencart search route 214
GET|/opencart/modules/mod-215/endpoint.php|id,module,lang,state|Generated opencart module endpoint 215
GET|/opencart/admin/panel-216|id,page,tab,sort|Generated opencart admin panel route 216
GET|/opencart/api/v1/items/217|id,search,page,limit|Generated opencart api route 217
POST|/opencart/ajax/action-218|action,id,user_id,token|Generated opencart ajax action route 218
GET|/?opencart_probe_219=1|opencart_probe_219,id,cat,author|Generated opencart query route 219
GET|/opencart/index.php?option=component220|option,id,view,task|Generated opencart component route 220
POST|/opencart/admin/post-221|action,id,order_id,status|Generated opencart admin post route 221
GET|/opencart/search/222|q,order,dir,page|Generated opencart search route 222
GET|/opencart/modules/mod-223/endpoint.php|id,module,lang,state|Generated opencart module endpoint 223
GET|/opencart/admin/panel-224|id,page,tab,sort|Generated opencart admin panel route 224
GET|/opencart/api/v1/items/225|id,search,page,limit|Generated opencart api route 225
POST|/opencart/ajax/action-226|action,id,user_id,token|Generated opencart ajax action route 226
GET|/?opencart_probe_227=1|opencart_probe_227,id,cat,author|Generated opencart query route 227
GET|/opencart/index.php?option=component228|option,id,view,task|Generated opencart component route 228
POST|/opencart/admin/post-229|action,id,order_id,status|Generated opencart admin post route 229
GET|/opencart/search/230|q,order,dir,page|Generated opencart search route 230
GET|/opencart/modules/mod-231/endpoint.php|id,module,lang,state|Generated opencart module endpoint 231
GET|/opencart/admin/panel-232|id,page,tab,sort|Generated opencart admin panel route 232
GET|/opencart/api/v1/items/233|id,search,page,limit|Generated opencart api route 233
POST|/opencart/ajax/action-234|action,id,user_id,token|Generated opencart ajax action route 234
GET|/?opencart_probe_235=1|opencart_probe_235,id,cat,author|Generated opencart query route 235
GET|/opencart/index.php?option=component236|option,id,view,task|Generated opencart component route 236
POST|/opencart/admin/post-237|action,id,order_id,status|Generated opencart admin post route 237
GET|/opencart/search/238|q,order,dir,page|Generated opencart search route 238
GET|/opencart/modules/mod-239/endpoint.php|id,module,lang,state|Generated opencart module endpoint 239
GET|/opencart/admin/panel-240|id,page,tab,sort|Generated opencart admin panel route 240
GET|/opencart/api/v1/items/241|id,search,page,limit|Generated opencart api route 241
POST|/opencart/ajax/action-242|action,id,user_id,token|Generated opencart ajax action route 242
GET|/?opencart_probe_243=1|opencart_probe_243,id,cat,author|Generated opencart query route 243
GET|/opencart/index.php?option=component244|option,id,view,task|Generated opencart component route 244
POST|/opencart/admin/post-245|action,id,order_id,status|Generated opencart admin post route 245
GET|/opencart/search/246|q,order,dir,page|Generated opencart search route 246
GET|/opencart/modules/mod-247/endpoint.php|id,module,lang,state|Generated opencart module endpoint 247
GET|/opencart/admin/panel-248|id,page,tab,sort|Generated opencart admin panel route 248
GET|/opencart/api/v1/items/249|id,search,page,limit|Generated opencart api route 249
POST|/opencart/ajax/action-250|action,id,user_id,token|Generated opencart ajax action route 250
GET|/?opencart_probe_251=1|opencart_probe_251,id,cat,author|Generated opencart query route 251
GET|/opencart/index.php?option=component252|option,id,view,task|Generated opencart component route 252
POST|/opencart/admin/post-253|action,id,order_id,status|Generated opencart admin post route 253
GET|/opencart/search/254|q,order,dir,page|Generated opencart search route 254
GET|/opencart/modules/mod-255/endpoint.php|id,module,lang,state|Generated opencart module endpoint 255
GET|/opencart/admin/panel-256|id,page,tab,sort|Generated opencart admin panel route 256
GET|/opencart/api/v1/items/257|id,search,page,limit|Generated opencart api route 257
POST|/opencart/ajax/action-258|action,id,user_id,token|Generated opencart ajax action route 258
GET|/?opencart_probe_259=1|opencart_probe_259,id,cat,author|Generated opencart query route 259
GET|/opencart/index.php?option=component260|option,id,view,task|Generated opencart component route 260
POST|/opencart/admin/post-261|action,id,order_id,status|Generated opencart admin post route 261
GET|/opencart/search/262|q,order,dir,page|Generated opencart search route 262
GET|/opencart/modules/mod-263/endpoint.php|id,module,lang,state|Generated opencart module endpoint 263
GET|/opencart/admin/panel-264|id,page,tab,sort|Generated opencart admin panel route 264
GET|/opencart/api/v1/items/265|id,search,page,limit|Generated opencart api route 265
POST|/opencart/ajax/action-266|action,id,user_id,token|Generated opencart ajax action route 266
GET|/?opencart_probe_267=1|opencart_probe_267,id,cat,author|Generated opencart query route 267
GET|/opencart/index.php?option=component268|option,id,view,task|Generated opencart component route 268
POST|/opencart/admin/post-269|action,id,order_id,status|Generated opencart admin post route 269
GET|/opencart/search/270|q,order,dir,page|Generated opencart search route 270
GET|/opencart/modules/mod-271/endpoint.php|id,module,lang,state|Generated opencart module endpoint 271
GET|/opencart/admin/panel-272|id,page,tab,sort|Generated opencart admin panel route 272
GET|/opencart/api/v1/items/273|id,search,page,limit|Generated opencart api route 273
POST|/opencart/ajax/action-274|action,id,user_id,token|Generated opencart ajax action route 274
GET|/?opencart_probe_275=1|opencart_probe_275,id,cat,author|Generated opencart query route 275
GET|/opencart/index.php?option=component276|option,id,view,task|Generated opencart component route 276
POST|/opencart/admin/post-277|action,id,order_id,status|Generated opencart admin post route 277
GET|/opencart/search/278|q,order,dir,page|Generated opencart search route 278
GET|/opencart/modules/mod-279/endpoint.php|id,module,lang,state|Generated opencart module endpoint 279
GET|/opencart/admin/panel-280|id,page,tab,sort|Generated opencart admin panel route 280
GET|/opencart/api/v1/items/281|id,search,page,limit|Generated opencart api route 281
POST|/opencart/ajax/action-282|action,id,user_id,token|Generated opencart ajax action route 282
GET|/?opencart_probe_283=1|opencart_probe_283,id,cat,author|Generated opencart query route 283
GET|/opencart/index.php?option=component284|option,id,view,task|Generated opencart component route 284
POST|/opencart/admin/post-285|action,id,order_id,status|Generated opencart admin post route 285
GET|/opencart/search/286|q,order,dir,page|Generated opencart search route 286
GET|/opencart/modules/mod-287/endpoint.php|id,module,lang,state|Generated opencart module endpoint 287
GET|/opencart/admin/panel-288|id,page,tab,sort|Generated opencart admin panel route 288
GET|/opencart/api/v1/items/289|id,search,page,limit|Generated opencart api route 289
POST|/opencart/ajax/action-290|action,id,user_id,token|Generated opencart ajax action route 290
GET|/?opencart_probe_291=1|opencart_probe_291,id,cat,author|Generated opencart query route 291
GET|/opencart/index.php?option=component292|option,id,view,task|Generated opencart component route 292
POST|/opencart/admin/post-293|action,id,order_id,status|Generated opencart admin post route 293
GET|/opencart/search/294|q,order,dir,page|Generated opencart search route 294
GET|/opencart/modules/mod-295/endpoint.php|id,module,lang,state|Generated opencart module endpoint 295
GET|/opencart/admin/panel-296|id,page,tab,sort|Generated opencart admin panel route 296
GET|/opencart/api/v1/items/297|id,search,page,limit|Generated opencart api route 297
POST|/opencart/ajax/action-298|action,id,user_id,token|Generated opencart ajax action route 298
GET|/?opencart_probe_299=1|opencart_probe_299,id,cat,author|Generated opencart query route 299
GET|/opencart/index.php?option=component300|option,id,view,task|Generated opencart component route 300
POST|/opencart/admin/post-301|action,id,order_id,status|Generated opencart admin post route 301
GET|/opencart/search/302|q,order,dir,page|Generated opencart search route 302
GET|/opencart/modules/mod-303/endpoint.php|id,module,lang,state|Generated opencart module endpoint 303
GET|/opencart/admin/panel-304|id,page,tab,sort|Generated opencart admin panel route 304
GET|/opencart/api/v1/items/305|id,search,page,limit|Generated opencart api route 305
POST|/opencart/ajax/action-306|action,id,user_id,token|Generated opencart ajax action route 306
GET|/?opencart_probe_307=1|opencart_probe_307,id,cat,author|Generated opencart query route 307
GET|/opencart/index.php?option=component308|option,id,view,task|Generated opencart component route 308
POST|/opencart/admin/post-309|action,id,order_id,status|Generated opencart admin post route 309
GET|/opencart/search/310|q,order,dir,page|Generated opencart search route 310
GET|/opencart/modules/mod-311/endpoint.php|id,module,lang,state|Generated opencart module endpoint 311
GET|/opencart/admin/panel-312|id,page,tab,sort|Generated opencart admin panel route 312
GET|/opencart/api/v1/items/313|id,search,page,limit|Generated opencart api route 313
POST|/opencart/ajax/action-314|action,id,user_id,token|Generated opencart ajax action route 314
GET|/?opencart_probe_315=1|opencart_probe_315,id,cat,author|Generated opencart query route 315
GET|/opencart/index.php?option=component316|option,id,view,task|Generated opencart component route 316
POST|/opencart/admin/post-317|action,id,order_id,status|Generated opencart admin post route 317
GET|/opencart/search/318|q,order,dir,page|Generated opencart search route 318
GET|/opencart/modules/mod-319/endpoint.php|id,module,lang,state|Generated opencart module endpoint 319
GET|/opencart/admin/panel-320|id,page,tab,sort|Generated opencart admin panel route 320
GET|/opencart/api/v1/items/321|id,search,page,limit|Generated opencart api route 321
POST|/opencart/ajax/action-322|action,id,user_id,token|Generated opencart ajax action route 322
GET|/?opencart_probe_323=1|opencart_probe_323,id,cat,author|Generated opencart query route 323
GET|/opencart/index.php?option=component324|option,id,view,task|Generated opencart component route 324
POST|/opencart/admin/post-325|action,id,order_id,status|Generated opencart admin post route 325
GET|/opencart/search/326|q,order,dir,page|Generated opencart search route 326
GET|/opencart/modules/mod-327/endpoint.php|id,module,lang,state|Generated opencart module endpoint 327
GET|/opencart/admin/panel-328|id,page,tab,sort|Generated opencart admin panel route 328
GET|/opencart/api/v1/items/329|id,search,page,limit|Generated opencart api route 329
POST|/opencart/ajax/action-330|action,id,user_id,token|Generated opencart ajax action route 330
GET|/?opencart_probe_331=1|opencart_probe_331,id,cat,author|Generated opencart query route 331
GET|/opencart/index.php?option=component332|option,id,view,task|Generated opencart component route 332
POST|/opencart/admin/post-333|action,id,order_id,status|Generated opencart admin post route 333
GET|/opencart/search/334|q,order,dir,page|Generated opencart search route 334
GET|/opencart/modules/mod-335/endpoint.php|id,module,lang,state|Generated opencart module endpoint 335
GET|/opencart/admin/panel-336|id,page,tab,sort|Generated opencart admin panel route 336
GET|/opencart/api/v1/items/337|id,search,page,limit|Generated opencart api route 337
POST|/opencart/ajax/action-338|action,id,user_id,token|Generated opencart ajax action route 338
GET|/?opencart_probe_339=1|opencart_probe_339,id,cat,author|Generated opencart query route 339
GET|/opencart/index.php?option=component340|option,id,view,task|Generated opencart component route 340
POST|/opencart/admin/post-341|action,id,order_id,status|Generated opencart admin post route 341
GET|/opencart/search/342|q,order,dir,page|Generated opencart search route 342
GET|/opencart/modules/mod-343/endpoint.php|id,module,lang,state|Generated opencart module endpoint 343
GET|/opencart/admin/panel-344|id,page,tab,sort|Generated opencart admin panel route 344
GET|/opencart/api/v1/items/345|id,search,page,limit|Generated opencart api route 345
POST|/opencart/ajax/action-346|action,id,user_id,token|Generated opencart ajax action route 346
GET|/?opencart_probe_347=1|opencart_probe_347,id,cat,author|Generated opencart query route 347
GET|/opencart/index.php?option=component348|option,id,view,task|Generated opencart component route 348
POST|/opencart/admin/post-349|action,id,order_id,status|Generated opencart admin post route 349
GET|/opencart/search/350|q,order,dir,page|Generated opencart search route 350
GET|/opencart/modules/mod-351/endpoint.php|id,module,lang,state|Generated opencart module endpoint 351
