# PrestaShop injection targets
# Format: METHOD|PATH|PARAMETERS|DESCRIPTION
GET|/prestashop/search/118|q,order,dir,page|Generated prestashop search route 118
GET|/prestashop/modules/mod-119/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 119
GET|/prestashop/admin/panel-120|id,page,tab,sort|Generated prestashop admin panel route 120
GET|/prestashop/api/v1/items/121|id,search,page,limit|Generated prestashop api route 121
POST|/prestashop/ajax/action-122|action,id,user_id,token|Generated prestashop ajax action route 122
GET|/?prestashop_probe_123=1|prestashop_probe_123,id,cat,author|Generated prestashop query route 123
GET|/prestashop/index.php?option=component124|option,id,view,task|Generated prestashop component route 124
POST|/prestashop/admin/post-125|action,id,order_id,status|Generated prestashop admin post route 125
GET|/prestashop/search/126|q,order,dir,page|Generated prestashop search route 126
GET|/prestashop/modules/mod-127/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 127
GET|/prestashop/admin/panel-128|id,page,tab,sort|Generated prestashop admin panel route 128
GET|/prestashop/api/v1/items/129|id,search,page,limit|Generated prestashop api route 129
POST|/prestashop/ajax/action-130|action,id,user_id,token|Generated prestashop ajax action route 130
GET|/?prestashop_probe_131=1|prestashop_probe_131,id,cat,author|Generated prestashop query route 131
GET|/prestashop/index.php?option=component132|option,id,view,task|Generated prestashop component route 132
POST|/prestashop/admin/post-133|action,id,order_id,status|Generated prestashop admin post route 133
GET|/prestashop/search/134|q,order,dir,page|Generated prestashop search route 134
GET|/prestashop/modules/mod-135/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 135
GET|/prestashop/admin/panel-136|id,page,tab,sort|Generated prestashop admin panel route 136
GET|/prestashop/api/v1/items/137|id,search,page,limit|Generated prestashop api route 137
POST|/prestashop/ajax/action-138|action,id,user_id,token|Generated prestashop ajax action route 138
GET|/?prestashop_probe_139=1|prestashop_probe_139,id,cat,author|Generated prestashop query route 139
GET|/prestashop/index.php?option=component140|option,id,view,task|Generated prestashop component route 140
POST|/prestashop/admin/post-141|action,id,order_id,status|Generated prestashop admin post route 141
GET|/prestashop/search/142|q,order,dir,page|Generated prestashop search route 142
GET|/prestashop/modules/mod-143/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 143
GET|/prestashop/admin/panel-144|id,page,tab,sort|Generated prestashop admin panel route 144
GET|/prestashop/api/v1/items/145|id,search,page,limit|Generated prestashop api route 145
POST|/prestashop/ajax/action-146|action,id,user_id,token|Generated prestashop ajax action route 146
GET|/?prestashop_probe_147=1|prestashop_probe_147,id,cat,author|Generated prestashop query route 147
GET|/prestashop/index.php?option=component148|option,id,view,task|Generated prestashop component route 148
POST|/prestashop/admin/post-149|action,id,order_id,status|Generated prestashop admin post route 149
GET|/prestashop/search/150|q,order,dir,page|Generated prestashop search route 150
GET|/prestashop/modules/mod-151/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 151
GET|/prestashop/admin/panel-152|id,page,tab,sort|Generated prestashop admin panel route 152
GET|/prestashop/api/v1/items/153|id,search,page,limit|Generated prestashop api route 153
POST|/prestashop/ajax/action-154|action,id,user_id,token|Generated prestashop ajax action route 154
GET|/?prestashop_probe_155=1|prestashop_probe_155,id,cat,author|Generated prestashop query route 155
GET|/prestashop/index.php?option=component156|option,id,view,task|Generated prestashop component route 156
POST|/prestashop/admin/post-157|action,id,order_id,status|Generated prestashop admin post route 157
GET|/prestashop/search/158|q,order,dir,page|Generated prestashop search route 158
GET|/prestashop/modules/mod-159/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 159
GET|/prestashop/admin/panel-160|id,page,tab,sort|Generated prestashop admin panel route 160
GET|/prestashop/api/v1/items/161|id,search,page,limit|Generated prestashop api route 161
POST|/prestashop/ajax/action-162|action,id,user_id,token|Generated prestashop ajax action route 162
GET|/?prestashop_probe_163=1|prestashop_probe_163,id,cat,author|Generated prestashop query route 163
GET|/prestashop/index.php?option=component164|option,id,view,task|Generated prestashop component route 164
POST|/prestashop/admin/post-165|action,id,order_id,status|Generated prestashop admin post route 165
GET|/prestashop/search/166|q,order,dir,page|Generated prestashop search route 166
GET|/prestashop/modules/mod-167/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 167
GET|/prestashop/admin/panel-168|id,page,tab,sort|Generated prestashop admin panel route 168
GET|/prestashop/api/v1/items/169|id,search,page,limit|Generated prestashop api route 169
POST|/prestashop/ajax/action-170|action,id,user_id,token|Generated prestashop ajax action route 170
GET|/?prestashop_probe_171=1|prestashop_probe_171,id,cat,author|Generated prestashop query route 171
GET|/prestashop/index.php?option=component172|option,id,view,task|Generated prestashop component route 172
POST|/prestashop/admin/post-173|action,id,order_id,status|Generated prestashop admin post route 173
GET|/prestashop/search/174|q,order,dir,page|Generated prestashop search route 174
GET|/prestashop/modules/mod-175/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 175
GET|/prestashop/admin/panel-176|id,page,tab,sort|Generated prestashop admin panel route 176
GET|/prestashop/api/v1/items/177|id,search,page,limit|Generated prestashop api route 177
POST|/prestashop/ajax/action-178|action,id,user_id,token|Generated prestashop ajax action route 178
GET|/?prestashop_probe_179=1|prestashop_probe_179,id,cat,author|Generated prestashop query route 179
GET|/prestashop/index.php?option=component180|option,id,view,task|Generated prestashop component route 180
POST|/prestashop/admin/post-181|action,id,order_id,status|Generated prestashop admin post route 181
GET|/prestashop/search/182|q,order,dir,page|Generated prestashop search route 182
GET|/prestashop/modules/mod-183/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 183
GET|/prestashop/admin/panel-184|id,page,tab,sort|Generated prestashop admin panel route 184
GET|/prestashop/api/v1/items/185|id,search,page,limit|Generated prestashop api route 185
POST|/prestashop/ajax/action-186|action,id,user_id,token|Generated prestashop ajax action route 186
GET|/?prestashop_probe_187=1|prestashop_probe_187,id,cat,author|Generated prestashop query route 187
GET|/prestashop/index.php?option=component188|option,id,view,task|Generated prestashop component route 188
POST|/prestashop/admin/post-189|action,id,order_id,status|Generated prestashop admin post route 189
GET|/prestashop/search/190|q,order,dir,page|Generated prestashop search route 190
GET|/prestashop/modules/mod-191/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 191
GET|/prestashop/admin/panel-192|id,page,tab,sort|Generated prestashop admin panel route 192
GET|/prestashop/api/v1/items/193|id,search,page,limit|Generated prestashop api route 193
POST|/prestashop/ajax/action-194|action,id,user_id,token|Generated prestashop ajax action route 194
GET|/?prestashop_probe_195=1|prestashop_probe_195,id,cat,author|Generated prestashop query route 195
GET|/prestashop/index.php?option=component196|option,id,view,task|Generated prestashop component route 196
POST|/prestashop/admin/post-197|action,id,order_id,status|Generated prestashop admin post route 197
GET|/prestashop/search/198|q,order,dir,page|Generated prestashop search route 198
GET|/prestashop/modules/mod-199/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 199
GET|/prestashop/admin/panel-200|id,page,tab,sort|Generated prestashop admin panel route 200
GET|/prestashop/api/v1/items/201|id,search,page,limit|Generated prestashop api route 201
POST|/prestashop/ajax/action-202|action,id,user_id,token|Generated prestashop ajax action route 202
GET|/?prestashop_probe_203=1|prestashop_probe_203,id,cat,author|Generated prestashop query route 203
GET|/prestashop/index.php?option=component204|option,id,view,task|Generated prestashop component route 204
POST|/prestashop/admin/post-205|action,id,order_id,status|Generated prestashop admin post route 205
GET|/prestashop/search/206|q,order,dir,page|Generated prestashop search route 206
GET|/prestashop/modules/mod-207/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 207
GET|/prestashop/admin/panel-208|id,page,tab,sort|Generated prestashop admin panel route 208
GET|/prestashop/api/v1/items/209|id,search,page,limit|Generated prestashop api route 209
POST|/prestashop/ajax/action-210|action,id,user_id,token|Generated prestashop ajax action route 210
GET|/?prestashop_probe_211=1|prestashop_probe_211,id,cat,author|Generated prestashop query route 211
GET|/prestashop/index.php?option=component212|option,id,view,task|Generated prestashop component route 212
POST|/prestashop/admin/post-213|action,id,order_id,status|Generated prestashop admin post route 213
GET|/prestashop/search/214|q,order,dir,page|Generated prestashop search route 214
GET|/prestashop/modules/mod-215/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 215
GET|/prestashop/admin/panel-216|id,page,tab,sort|Generated prestashop admin panel route 216
GET|/prestashop/api/v1/items/217|id,search,page,limit|Generated prestashop api route 217
POST|/prestashop/ajax/action-218|action,id,user_id,token|Generated prestashop ajax action route 218
GET|/?prestashop_probe_219=1|prestashop_probe_219,id,cat,author|Generated prestashop query route 219
GET|/prestashop/index.php?option=component220|option,id,view,task|Generated prestashop component route 220
POST|/prestashop/admin/post-221|action,id,order_id,status|Generated prestashop admin post route 221
GET|/prestashop/search/222|q,order,dir,page|Generated prestashop search route 222
GET|/prestashop/modules/mod-223/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 223
GET|/prestashop/admin/panel-224|id,page,tab,sort|Generated prestashop admin panel route 224
GET|/prestashop/api/v1/items/225|id,search,page,limit|Generated prestashop api route 225
POST|/prestashop/ajax/action-226|action,id,user_id,token|Generated prestashop ajax action route 226
GET|/?prestashop_probe_227=1|prestashop_probe_227,id,cat,author|Generated prestashop query route 227
GET|/prestashop/index.php?option=component228|option,id,view,task|Generated prestashop component route 228
POST|/prestashop/admin/post-229|action,id,order_id,status|Generated prestashop admin post route 229
GET|/prestashop/search/230|q,order,dir,page|Generated prestashop search route 230
GET|/prestashop/modules/mod-231/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 231
GET|/prestashop/admin/panel-232|id,page,tab,sort|Generated prestashop admin panel route 232
GET|/prestashop/api/v1/items/233|id,search,page,limit|Generated prestashop api route 233
POST|/prestashop/ajax/action-234|action,id,user_id,token|Generated prestashop ajax action route 234
GET|/?prestashop_probe_235=1|prestashop_probe_235,id,cat,author|Generated prestashop query route 235
GET|/prestashop/index.php?option=component236|option,id,view,task|Generated prestashop component route 236
POST|/prestashop/admin/post-237|action,id,order_id,status|Generated prestashop admin post route 237
GET|/prestashop/search/238|q,order,dir,page|Generated prestashop search route 238
GET|/prestashop/modules/mod-239/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 239
GET|/prestashop/admin/panel-240|id,page,tab,sort|Generated prestashop admin panel route 240
GET|/prestashop/api/v1/items/241|id,search,page,limit|Generated prestashop api route 241
POST|/prestashop/ajax/action-242|action,id,user_id,token|Generated prestashop ajax action route 242
GET|/?prestashop_probe_243=1|prestashop_probe_243,id,cat,author|Generated prestashop query route 243
GET|/prestashop/index.php?option=component244|option,id,view,task|Generated prestashop component route 244
POST|/prestashop/admin/post-245|action,id,order_id,status|Generated prestashop admin post route 245
GET|/prestashop/search/246|q,order,dir,page|Generated prestashop search route 246
GET|/prestashop/modules/mod-247/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 247
GET|/prestashop/admin/panel-248|id,page,tab,sort|Generated prestashop admin panel route 248
GET|/prestashop/api/v1/items/249|id,search,page,limit|Generated prestashop api route 249
POST|/prestashop/ajax/action-250|action,id,user_id,token|Generated prestashop ajax action route 250
GET|/?prestashop_probe_251=1|prestashop_probe_251,id,cat,author|Generated prestashop query route 251
GET|/prestashop/index.php?option=component252|option,id,view,task|Generated prestashop component route 252
POST|/prestashop/admin/post-253|action,id,order_id,status|Generated prestashop admin post route 253
GET|/prestashop/search/254|q,order,dir,page|Generated prestashop search route 254
GET|/prestashop/modules/mod-255/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 255
GET|/prestashop/admin/panel-256|id,page,tab,sort|Generated prestashop admin panel route 256
GET|/prestashop/api/v1/items/257|id,search,page,limit|Generated prestashop api route 257
POST|/prestashop/ajax/action-258|action,id,user_id,token|Generated prestashop ajax action route 258
GET|/?prestashop_probe_259=1|prestashop_probe_259,id,cat,author|Generated prestashop query route 259
GET|/prestashop/index.php?option=component260|option,id,view,task|Generated prestashop component route 260
POST|/prestashop/admin/post-261|action,id,order_id,status|Generated prestashop admin post route 261
GET|/prestashop/search/262|q,order,dir,page|Generated prestashop search route 262
GET|/prestashop/modules/mod-263/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 263
GET|/prestashop/admin/panel-264|id,page,tab,sort|Generated prestashop admin panel route 264
GET|/prestashop/api/v1/items/265|id,search,page,limit|Generated prestashop api route 265
POST|/prestashop/ajax/action-266|action,id,user_id,token|Generated prestashop ajax action route 266
GET|/?prestashop_probe_267=1|prestashop_probe_267,id,cat,author|Generated prestashop query route 267
GET|/prestashop/index.php?option=component268|option,id,view,task|Generated prestashop component route 268
POST|/prestashop/admin/post-269|action,id,order_id,status|Generated prestashop admin post route 269
GET|/prestashop/search/270|q,order,dir,page|Generated prestashop search route 270
GET|/prestashop/modules/mod-271/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 271
GET|/prestashop/admin/panel-272|id,page,tab,sort|Generated prestashop admin panel route 272
GET|/prestashop/api/v1/items/273|id,search,page,limit|Generated prestashop api route 273
POST|/prestashop/ajax/action-274|action,id,user_id,token|Generated prestashop ajax action route 274
GET|/?prestashop_probe_275=1|prestashop_probe_275,id,cat,author|Generated prestashop query route 275
GET|/prestashop/index.php?option=component276|option,id,view,task|Generated prestashop component route 276
POST|/prestashop/admin/post-277|action,id,order_id,status|Generated prestashop admin post route 277
GET|/prestashop/search/278|q,order,dir,page|Generated prestashop search route 278
GET|/prestashop/modules/mod-279/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 279
GET|/prestashop/admin/panel-280|id,page,tab,sort|Generated prestashop admin panel route 280
GET|/prestashop/api/v1/items/281|id,search,page,limit|Generated prestashop api route 281
POST|/prestashop/ajax/action-282|action,id,user_id,token|Generated prestashop ajax action route 282
GET|/?prestashop_probe_283=1|prestashop_probe_283,id,cat,author|Generated prestashop query route 283
GET|/prestashop/index.php?option=component284|option,id,view,task|Generated prestashop component route 284
POST|/prestashop/admin/post-285|action,id,order_id,status|Generated prestashop admin post route 285
GET|/prestashop/search/286|q,order,dir,page|Generated prestashop search route 286
GET|/prestashop/modules/mod-287/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 287
GET|/prestashop/admin/panel-288|id,page,tab,sort|Generated prestashop admin panel route 288
GET|/prestashop/api/v1/items/289|id,search,page,limit|Generated prestashop api route 289
POST|/prestashop/ajax/action-290|action,id,user_id,token|Generated prestashop ajax action route 290
GET|/?prestashop_probe_291=1|prestashop_probe_291,id,cat,author|Generated prestashop query route 291
GET|/prestashop/index.php?option=component292|option,id,view,task|Generated prestashop component route 292
POST|/prestashop/admin/post-293|action,id,order_id,status|Generated prestashop admin post route 293
GET|/prestashop/search/294|q,order,dir,page|Generated prestashop search route 294
GET|/prestashop/modules/mod-295/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 295
GET|/prestashop/admin/panel-296|id,page,tab,sort|Generated prestashop admin panel route 296
GET|/prestashop/api/v1/items/297|id,search,page,limit|Generated prestashop api route 297
POST|/prestashop/ajax/action-298|action,id,user_id,token|Generated prestashop ajax action route 298
GET|/?prestashop_probe_299=1|prestashop_probe_299,id,cat,author|Generated prestashop query route 299
GET|/prestashop/index.php?option=component300|option,id,view,task|Generated prestashop component route 300
POST|/prestashop/admin/post-301|action,id,order_id,status|Generated prestashop admin post route 301
GET|/prestashop/search/302|q,order,dir,page|Generated prestashop search route 302
GET|/prestashop/modules/mod-303/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 303
GET|/prestashop/admin/panel-304|id,page,tab,sort|Generated prestashop admin panel route 304
GET|/prestashop/api/v1/items/305|id,search,page,limit|Generated prestashop api route 305
POST|/prestashop/ajax/action-306|action,id,user_id,token|Generated prestashop ajax action route 306
GET|/?prestashop_probe_307=1|prestashop_probe_307,id,cat,author|Generated prestashop query route 307
GET|/prestashop/index.php?option=component308|option,id,view,task|Generated prestashop component route 308
POST|/prestashop/admin/post-309|action,id,order_id,status|Generated prestashop admin post route 309
GET|/prestashop/search/310|q,order,dir,page|Generated prestashop search route 310
GET|/prestashop/modules/mod-311/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 311
GET|/prestashop/admin/panel-312|id,page,tab,sort|Generated prestashop admin panel route 312
GET|/prestashop/api/v1/items/313|id,search,page,limit|Generated prestashop api route 313
POST|/prestashop/ajax/action-314|action,id,user_id,token|Generated prestashop ajax action route 314
GET|/?prestashop_probe_315=1|prestashop_probe_315,id,cat,author|Generated prestashop query route 315
GET|/prestashop/index.php?option=component316|option,id,view,task|Generated prestashop component route 316
POST|/prestashop/admin/post-317|action,id,order_id,status|Generated prestashop admin post route 317
GET|/prestashop/search/318|q,order,dir,page|Generated prestashop search route 318
GET|/prestashop/modules/mod-319/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 319
GET|/prestashop/admin/panel-320|id,page,tab,sort|Generated prestashop admin panel route 320
GET|/prestashop/api/v1/items/321|id,search,page,limit|Generated prestashop api route 321
POST|/prestashop/ajax/action-322|action,id,user_id,token|Generated prestashop ajax action route 322
GET|/?prestashop_probe_323=1|prestashop_probe_323,id,cat,author|Generated prestashop query route 323
GET|/prestashop/index.php?option=component324|option,id,view,task|Generated prestashop component route 324
POST|/prestashop/admin/post-325|action,id,order_id,status|Generated prestashop admin post route 325
GET|/prestashop/search/326|q,order,dir,page|Generated prestashop search route 326
GET|/prestashop/modules/mod-327/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 327
GET|/prestashop/admin/panel-328|id,page,tab,sort|Generated prestashop admin panel route 328
GET|/prestashop/api/v1/items/329|id,search,page,limit|Generated prestashop api route 329
POST|/prestashop/ajax/action-330|action,id,user_id,token|Generated prestashop ajax action route 330
GET|/?prestashop_probe_331=1|prestashop_probe_331,id,cat,author|Generated prestashop query route 331
GET|/prestashop/index.php?option=component332|option,id,view,task|Generated prestashop component route 332
POST|/prestashop/admin/post-333|action,id,order_id,status|Generated prestashop admin post route 333
